TransactionID,CustomerID,CustomerDOB,CustGender,CustLocation,CustAccountBalance,TransactionDate,TransactionTime,TransactionAmount (INR)
T788306,C5214325,14/8/91,F,NEW DELHI,99950.89,6/9/16,45030,149.0
T15027,C6535238,26/10/89,F,DELHI,10125.36,26/9/16,201650,432.0
T1021731,C2925333,21/2/81,M,AMBERNATH,41467.47,13/9/16,143323,191.0
T916399,C8112785,23/1/88,M,GANGTOK,9270.75,12/9/16,192301,101.15
T747735,C2019141,5/3/91,M,DELHI,108586.67,2/9/16,201922,100.0
T2726,C2234990,11/11/98,M,RAJKOT,4102.18,21/10/16,155850,50.0
T142744,C5632280,31/3/86,M,GUWAHATI,18322.19,5/8/16,124752,26.0
T403466,C3716768,25/5/93,M,LUCKNOW,513.2,18/8/16,141537,100.0
T282429,C2716163,3/5/81,F,CHENNAI,51193.01,11/8/16,115831,600.0
T147571,C2838389,29/10/92,F,MOHALI,25417.72,5/8/16,192752,606.9
T473178,C4334836,14/4/88,M,BANGALORE,34224.88,21/8/16,142651,200.0
T139725,C3836872,14/9/82,M,AHMEDABAD,16667.49,5/8/16,113546,25989.0
T418976,C1216378,8/7/93,F,BANGALORE,17072.15,17/8/16,213903,20.0
T216001,C6810662,14/9/85,M,AHMEDABAD,106475.17,8/8/16,154952,30.0
T724448,C4314078,3/1/86,M,ALWAR,13973.85,2/9/16,80727,1820.0
T20776,C4525944,26/8/89,F,THANE,6669.98,23/9/16,190447,3599.0
T734802,C3821745,10/6/91,F,KARIMNAGAR,3344.36,2/9/16,174750,120.0
T874067,C4916771,15/1/90,M,DELHI,6589.94,8/9/16,212119,1002.0
T224792,C8524228,18/8/91,M,BHIWANI,10836.21,7/8/16,32514,50.0
T70608,C1839418,10/8/97,M,BHAVNAGAR,11124.55,2/8/16,190329,50.0
T137268,C3739451,7/4/92,F,NOIDA,719.7,5/8/16,44048,85.0
T227040,C4631273,15/7/94,M,CUDDALORE,2362.5,7/8/16,142837,813.0
T70570,C8736963,23/8/82,M,KALYAN WEST,13204.45,2/8/16,171800,5206.0
T544955,C5328391,22/5/94,F,BANGALORE,5807.89,23/8/16,234128,1020.0
T6615,C6921476,28/10/88,F,MUMBAI,69073.56,22/9/16,132133,499.0
T601896,C8433880,30/9/91,M,KOLKATA,34047.25,26/8/16,235241,485.0
T106975,C1325773,6/5/94,M,GURGAON,15166.35,6/8/16,44526,123.0
T672488,C6738879,14/7/84,F,GHAZIABAD,109847.34,28/8/16,191159,3531.0
T997414,C4334023,4/7/50,F,AGARTALA,0.0,14/9/16,143420,3050.0
T730023,C3134514,6/8/85,M,SALCETTE,57428.85,2/9/16,151037,268.0
T217464,C3415792,6/4/89,M,AHMEDNAGAR,3432.37,8/8/16,194101,45.0
T976150,C6228347,1/1/1800,M,DELHI,6832.59,15/9/16,160238,23928.0
T930164,C3330558,17/3/90,F,NEW DELHI,19053.66,11/9/16,111834,2748.0
T914159,C8936280,17/6/96,M,JAIPUR,1761.78,12/9/16,85009,189.0
T386293,C1924915,24/7/89,M,NEW DELHI,471466.98,13/8/16,200820,2000.0
T321544,C6425031,8/2/89,M,RAJPURA,3167.49,15/8/16,104905,55.0
T280641,C4915584,12/6/91,M,MUMBAI,4352.68,11/8/16,102352,581.8
T310795,C8431258,7/3/92,F,THANE,362.18,10/8/16,174629,500.0
T281245,C4229683,24/2/87,M,BURDWAN,33178.94,11/8/16,110848,205.0
T1039446,C3249876,9/1/85,M,GURGAON,11665.51,18/9/16,161306,1500.01
T508531,C7142253,15/8/92,M,AHMEDABAD,27263.7,19/8/16,180420,2999.0
T756117,C1363821,13/11/85,M,JAIPUR,64408.59,1/9/16,183954,2241.82
T225231,C2535784,12/9/90,M,CHENNAI,2992.2,7/8/16,91235,45.0
T358067,C7726989,23/8/86,F,KANCHEEPURAM,23581.13,14/8/16,134353,2875.0
T942718,C3535553,30/6/85,M,NAVI MUMBAI,29000.54,11/9/16,185555,1397.0
T693508,C2039851,4/12/89,M,DELHI,30057.55,31/8/16,211311,1050.0
T635359,C7584460,1/6/81,M,BANGALORE,18399.65,29/8/16,131934,755.0
T743958,C5324073,17/4/83,M,CHENNAI,21246.03,2/9/16,203651,485.0
T70473,C1729633,9/12/83,F,DISTT-GHAZIABAD GHAZIABAD,8725.5,2/8/16,155602,1299.0
T504630,C1220126,27/4/89,M,BANGALORE,8903.78,19/8/16,133136,558.25
T112751,C6859742,2/2/59,F,BHILAI,,6/8/16,114549,25.0
T585264,C2880749,1/5/85,M,VARANASI,49978.19,22/8/16,203807,499.0
T134893,C8546382,1/1/1800,M,CHENNAI,307.69,5/8/16,83743,970.0
T537750,C4725590,1/1/1800,M,PANNA SHOPPING CENTRE JOGESHWARI W,37629.29,23/8/16,201806,8500.0
T437553,C1325454,16/2/64,M,NEW DELHI,87707.74,17/8/16,161813,2797.0
T996551,C4688471,11/9/91,F,BANGALORE,11555.06,14/9/16,100346,640.9
T1035813,C5923873,22/2/94,F,NEW DELHI,991.06,18/9/16,170757,101.0
T15389,C7419118,5/7/92,M,GORAKHPUR,937.03,26/9/16,195129,50.0
T496528,C1513727,1/4/80,M,RUPNAGAR,10959.4,19/8/16,62056,605.4
T81933,C2119275,19/9/93,M,BURDWAN,130438.56,2/8/16,223435,435.0
T570540,C1151882,6/11/65,M,NEW DELHI,567819.93,22/8/16,111935,850.0
T244712,C7693881,24/11/90,M,GAUTAM BUDDHA NAGAR,55042.73,7/8/16,191604,101.15
T247650,C5441245,1/3/96,M,DELHI,3119.24,7/8/16,153628,240.0
T673255,C6220778,18/9/94,M,GHAZIABAD,38440.32,28/8/16,41105,10.35
T513817,C5079434,1/6/80,M,DOMBIVALI EAST,90444.42,19/8/16,141053,1932.0
T539384,C2532165,9/10/89,F,DELHI,20.23,24/8/16,213612,249.0
T388028,C5312351,21/1/79,F,THANE- EAST,61169.9,13/8/16,195100,200.0
T204213,C4725327,6/6/94,M,MUZAFFARPUR,462.11,8/8/16,115337,10.0
T989280,C8440473,5/4/86,M,NEW DELHI,8683.1,15/9/16,223639,204.0
T921238,C5419278,8/1/90,F,KOTTAYAM,12051.88,11/9/16,100716,30.0
T901508,C5959977,14/5/87,M,BHUBANESHWAR,5410.65,7/9/16,4413,2000.0
T301202,C3166470,29/11/78,M,GURGAON,370.05,10/8/16,103738,137.0
T318291,C5738638,29/5/91,M,OFF BKC MUMBAI,5040.82,15/8/16,111803,540.26
T123903,C6512254,9/9/59,M,GUWAHATI,3070487.24,6/8/16,180234,2501.0
T734351,C1825757,18/4/86,M,NANGAL,75006.15,2/9/16,174539,50.0
T89813,C5610988,24/9/84,M,NOIDA,,1/8/16,120555,10.0
T550601,C3356516,22/9/68,M,NEW DELHI,1055799.07,23/8/16,173249,200.0
T936648,C1329241,21/1/70,M,GURGAON,656808.66,11/9/16,185028,355.0
T1021983,C3629072,15/6/78,M,PUNE,99131.5,13/9/16,142859,2500.0
T60426,C5881554,23/11/85,F,NEW DELHI,67810.5,3/8/16,234352,141.0
T907506,C8421487,18/2/87,F,BADLAPUR E,380662.34,12/9/16,114156,3414.0
T853646,C7519574,14/8/88,M,DELHI,2422.42,9/9/16,191932,154.05
T998041,C6220020,15/6/91,M,HYDERABAD,31828.98,14/9/16,115849,2767.0
T338812,C6614992,1/1/1800,F,BHOPAL,6406304.47,15/8/16,221614,10756.0
T950563,C8218816,29/6/89,M,NEW DELHI,977085.88,10/9/16,204437,1250.0
T739460,C5313115,3/7/82,M,CHENNAI,13521.91,2/9/16,180448,179.36
T245142,C2463172,31/5/78,F,DEOLI,237.51,7/8/16,174354,2000.0
T1002560,C6235689,3/6/95,F,NOIDA,1654.4,14/9/16,140630,30.0
T551037,C4531419,25/5/81,M,JALANDHAR,72.51,23/8/16,192015,430.0
T55019,C8462740,15/4/72,M,GHAZIABAD,58587.16,3/8/16,195107,1000.0
T108309,C6390219,22/12/83,M,PUNE,59439.71,6/8/16,91851,147.0
T107656,C6125890,16/6/86,M,MUMBAI,199717.26,6/8/16,134649,500.0
T541701,C6334887,26/4/86,M,DELHI,5607.12,23/8/16,105701,109.0
T762878,C8116819,5/5/96,M,SHAMA,15509.93,1/9/16,132139,50.0
T716952,C7423549,5/1/80,M,MUMBAI,148486.79,3/9/16,194835,2200.0
T298727,C8842782,29/2/84,M,HYDERABAD,1849.67,11/8/16,225033,536.26
T361157,C3147785,2/10/82,M,SAHARANPUR,84021.35,14/8/16,170309,1000.0
T1041597,C6416281,10/6/80,M,BANGALORE,5.98,18/9/16,140414,2049.51
T996725,C3739915,18/10/87,M,GURGAON,34487.81,14/9/16,94406,51.45
T90752,C3513238,,F,MUMBAI,11900.51,22/9/16,122141,2000.0
T809667,C6921739,18/4/92,M,FARIDABAD,20659.93,4/9/16,230319,306.0
T606027,C3233686,22/9/88,M,AJMER,9302.05,26/8/16,181904,344.0
T954916,C2364253,15/9/92,F,MUKTSAR,591.41,10/9/16,185812,170.0
T1038191,C1820911,4/8/92,F,MUMBAI,11777.4,18/9/16,140614,20.0
T897322,C1017889,23/7/81,M,CHAKALA ANDHERI E MUMBAI,14470.97,7/9/16,90945,220.83
T776513,C2725647,21/4/93,M,DIBRUGARH,4138.66,6/9/16,194937,2100.0
T5465,C2338873,24/4/86,M,PUNE,9650.48,16/8/16,215821,75.97
T784460,C3014424,14/11/90,F,ST JOSEDH BANGALORE,8155.14,6/9/16,133109,698.0
T344678,C3814281,12/4/75,M,AGRA,3493.91,15/8/16,200001,270.0
T311655,C4219628,26/3/73,M,PUNE,247220.72,10/8/16,172033,2052.7
T673790,C3998448,25/5/85,M,PATPARGANJ DELHI,204185.61,28/8/16,193038,2099.0
T170630,C4532133,7/3/91,F,BANGALORE,11384.3,4/8/16,182532,140.0
T502662,C1621047,14/1/93,F,GWALIOR,17215.98,20/8/16,204628,2096.0
T940043,C8840360,30/12/82,F,NEW DELHI,66335.58,11/9/16,195730,1099.0
T631194,C1746072,20/1/93,F,DELHI,11690.33,29/8/16,175441,100.0
T4591,C4925389,21/10/76,M,BANGALORE,51907.55,23/8/16,145302,500.0
T698469,C5179040,21/10/86,M,LUCKNOW,36.77,30/8/16,104928,150.0
T209419,C7820558,20/2/88,M,CHENNAI,2156.69,3/9/16,133921,200.0
T757646,C7475622,19/11/82,M,NEW DELHI,60729.01,1/9/16,173042,19036.8
T189410,C2023670,8/5/92,M,NEW DELHI,15408.02,9/8/16,185606,500.0
T13754,C3238941,12/7/82,M,FARIDABAD,40858.16,25/9/16,214858,350.0
T393632,C1017848,13/9/84,M,BANGALORE,5226.48,13/8/16,225854,1000.0
T575534,C3951831,6/11/65,M,NEW DELHI,567819.93,22/8/16,113109,600.0
T758267,C1725062,27/8/92,M,FARIDABAD,16472.2,1/9/16,172502,4641.0
T711816,C4929983,8/5/80,M,GURGAON,50156.13,3/9/16,182525,500.0
T571980,C6188068,31/8/81,M,GURGAON,6263.67,27/8/16,101443,607.0
T235014,C3637853,25/11/83,M,MOHALI,16377.92,7/8/16,144742,247.0
T424232,C8026342,1/10/72,M,NEW DELHI,189036.55,17/8/16,122520,920.0
T817649,C9010546,17/8/89,F,PATIALA,15086.39,4/9/16,163028,50.0
T158593,C2339940,1/1/1800,M,GURGAON,28333.11,5/8/16,215653,311.0
T1035753,C2913757,31/7/93,F,BANGALORE,173447.62,18/9/16,165122,50.0
T544553,C4910260,1/7/83,F,GURGAON,7905.24,24/8/16,215248,1960.0
T234337,C1637123,10/7/79,F,DEHRADUN,34084.05,7/8/16,180229,3080.0
T723627,C8914446,8/12/79,M,KARNAL,13663.23,2/9/16,95609,500.0
T489605,C8333990,25/4/94,F,MUMBAI,230464.03,20/8/16,124737,573.0
T1015904,C2826714,2/11/80,M,CHENNAI,1589.43,14/9/16,220223,65.0
T381701,C7417688,1/1/91,F,KOLLAM,6767.8,13/8/16,190213,218.0
T388483,C1511717,1/9/87,M,DOHA,54895.59,13/8/16,110817,238.0
T535055,C1710333,26/3/94,F,FARIDABAD,3015.27,22/8/16,105326,6999.0
T671802,C4715048,4/4/94,M,NOIDA,17889.45,31/8/16,191256,248.0
T1045428,C6022485,31/8/90,M,BAMBOLIM,95209.23,18/9/16,114759,440.0
T951175,C3629650,10/8/92,F,MUMBAI,69471.64,10/9/16,191506,498.0
T762546,C8542650,4/6/86,F,BANGALORE,1968.97,1/9/16,132700,500.0
T1010211,C7528691,2/5/71,F,GURGAON,140150.31,14/9/16,204606,4000.0
T599733,C2021952,4/7/95,M,NEW DELHI,61463.62,25/8/16,4009,195.0
T225671,C7814057,1/1/89,M,PUNE,1943.4,8/8/16,192100,1.89
T1012704,C5573663,4/10/88,M,HYDERABAD,43854.35,13/9/16,204827,458.0
T697471,C5168088,4/3/79,M,NEW DELHI,5008.33,30/8/16,125709,300.0
T726510,C2018067,31/12/74,M,GUWAHATI,17969.28,3/9/16,230921,16806.0
T955032,C6812148,10/8/88,F,DELHI,36016.49,10/9/16,223957,1176.0
T690872,C2937614,30/9/91,M,SIRHIND,911.25,31/8/16,205416,12.0
T428272,C6437368,27/11/91,M,AHMEDABAD,24205.84,17/8/16,211452,120.0
T494064,C3827177,25/2/94,M,PUNE,13916.76,20/8/16,211109,100.0
T407435,C3520271,17/6/81,M,BENGALURU,17255.79,18/8/16,131559,2000.0
T813500,C2310723,28/7/66,M,NOIDA,204792.69,4/9/16,201521,260.0
T258957,C7326872,9/12/92,F,BENGALURU,17996.65,12/8/16,145351,875.5
T801047,C3841874,16/8/74,F,RAIPUR,247407.57,5/9/16,171239,3102.0
T557187,C2887761,5/12/87,M,3RD BLOCK BANGALORE,5.18,24/8/16,150747,100.0
T78088,C2122187,7/12/86,M,BANGALORE,41255.35,2/8/16,204100,1121.0
T395428,C2434751,18/7/62,M,PATIALA,14521.96,13/8/16,212649,1371.0
T358574,C1021370,13/10/90,F,NEW DELHI,42387.74,14/8/16,173034,681.98
T589620,C4727567,1/1/1800,M,COIMBATORE,220241.6,25/8/16,124555,460.0
T799113,C6635782,10/6/85,M,NOIDA,53654.22,5/9/16,161321,500.0
T227364,C8940775,1/1/84,M,GAZIABAD,7866.26,7/8/16,34147,210.0
T323464,C6141752,7/10/89,M,BAREILLY,56754.46,10/8/16,181452,270.0
T90837,C6534862,30/10/80,F,GHAZIABAD,32250.68,22/9/16,110044,210.0
T535616,C7033086,28/1/86,F,PUNE,344976.94,23/8/16,225317,5229.0
T763593,C6822429,18/4/91,M,VADODARA,66176.15,1/9/16,131040,1630.0
T789817,C5327445,1/10/83,M,SINGAPORE,522.29,5/9/16,4744,1158.0
T999274,C6618370,3/7/92,F,DELHI,22709.1,14/9/16,141407,40.0
T792147,C4821711,30/6/88,M,NEW DELHI,19037.54,5/9/16,123303,4470.83
T696552,C1929538,23/3/59,M,NEW DELHI,228814.79,30/8/16,130457,5608.5
T263761,C7030947,1/1/1800,M,NEW DELHI,10199.89,12/8/16,171746,2700.0
T405259,C8521864,28/12/95,F,HYDERABAD,9270.44,18/8/16,190222,1947.5
T432627,C5019557,3/3/93,F,CHENNAI,82658.86,17/8/16,185341,500.0
T149820,C8035439,15/6/63,M,VARANASI,1391.03,5/8/16,224431,12776.0
T670219,C5512151,30/10/91,F,GURGAON,3660.2,31/8/16,65953,50.0
T490470,C6333139,4/11/83,M,BANGALORE,21074.13,20/8/16,180349,996.0
T862400,C4640365,7/5/76,M,RAIPUR,6154.5,8/9/16,102031,120.0
T1039910,C1331772,22/12/89,F,NEW DELHI,14938.26,18/9/16,133824,900.0
T1021590,C1135492,25/3/71,M,MUMBAI,7774.3,13/9/16,205123,566.0
T518963,C3919777,28/2/94,F,NEW DELHI,89445.92,19/8/16,222626,147.0
T487534,C6436117,5/3/95,F,NOIDA,5570.0,20/8/16,165856,200.0
T940022,C1516523,4/12/88,M,VELLORE,8151.22,11/9/16,191951,195.0
T313522,C4388370,9/5/81,M,CHENNAI,0.62,10/8/16,194447,250.0
T177553,C8110368,5/11/89,M,BHARATPUR,27206.59,4/8/16,210316,606.9
T1003404,C2818737,27/9/88,M,GURGAON,34221.37,14/9/16,193430,1156.0
T812697,C6022011,30/3/85,F,AHMEDABAD,59874.17,5/9/16,211214,297.0
T329801,C5813722,10/9/82,M,BOISAR W,11989.62,15/8/16,111838,2054.17
T81315,C8738790,18/10/78,M,PUNE,73592.43,2/8/16,224110,450.0
T550100,C1543580,27/4/51,M,THANE,91405.56,23/8/16,192713,487.0
T109753,C5687255,22/1/92,M,PALI,415.14,1/8/16,222331,100.0
T135726,C7416173,16/7/78,M,BANGALORE,273395.44,5/8/16,120116,92.0
T833169,C4128839,1/6/73,M,TIRUVALLUR,3680.47,4/9/16,115338,887.0
T16142,C7122340,22/9/93,M,BANGALORE,12084.77,26/9/16,195421,50.0
T160937,C5937975,9/10/94,M,JAIPUR,11455.45,4/8/16,83349,150.0
T1032020,C2442653,5/6/95,M,DELHI,316.35,13/9/16,111221,359.0
T563122,C6140873,7/6/84,M,BAMBOLIM,17046.96,27/8/16,110125,154.0
T710301,C1935862,1/6/82,M,VISAKHAPATNAM,11733.24,3/9/16,82141,70.0
T969755,C3228565,10/11/84,M,KICHHA,81606.28,10/9/16,102401,30.0
T518349,C8711148,25/2/87,M,HYDERABAD,59.76,19/8/16,192352,120.0
T896582,C2474251,10/6/88,M,BANGALORE,15834.56,7/9/16,115656,124.0
T865486,C3226634,1/1/1800,M,GURGAON,551279.11,8/9/16,134805,20700.0
T776582,C2327832,18/12/80,M,NOIDA,137387.52,6/9/16,183717,10903.0
T807804,C3527742,8/10/91,M,NEW DELHI,35.82,4/9/16,211525,66.61
T475695,C1915448,6/5/85,M,GHAZIABAD,1063239.22,20/8/16,91320,1903.0
T964627,C4130450,16/6/85,F,GHAZIABAD,77932.38,10/9/16,115510,1347.49
T377039,C1412623,11/9/62,M,DELHI,98663.55,13/8/16,135508,413.0
T47360,C6790925,31/5/88,M,ERNAKULAM,256859.1,3/8/16,145326,899.0
T983120,C4135334,20/1/92,F,JALANDHAR,8848.78,15/9/16,123957,100.0
T291008,C5758879,21/12/85,M,THANE,6088.12,11/8/16,235337,1945.0
T5008,C5812373,1/11/85,M,DIMAPUR,26794.55,15/8/16,192416,48.0
T163820,C1017571,8/10/85,M,GURGAON,13652.99,4/8/16,123215,400.0
T533665,C3496442,6/8/95,M,AHMEDABAD,64893.96,23/8/16,214402,100.0
T389689,C8286860,30/10/94,F,GURGAON,114.69,13/8/16,201805,3599.0
T708950,C8319816,21/9/87,F,MUMBAI,14365.69,3/9/16,170623,2300.0
T298837,C4230890,27/10/79,M,MUMBAI,497.96,10/8/16,3722,560.0
T57575,C3036254,15/5/79,M,NAVI MUMBAI,3979.79,3/8/16,212653,240.0
T141770,C6672511,19/6/92,F,AHMEDABAD,1611.91,5/8/16,144700,0.52
T666854,C5732338,26/7/83,F,ANDHERI-E MUMBAI,104523.14,31/8/16,93751,600.0
T992829,C8227529,3/4/87,M,NAVI MUMBAI,260740.23,15/9/16,213443,150.0
T8444,C1923728,26/9/93,M,HYDERABAD,5.4,22/9/16,113742,50.0
T330072,C1138684,29/9/03,F,BANGALORE,2000.42,15/8/16,111845,1171.0
T843284,C7124615,1/10/86,M,GURGAON,105433.4,9/9/16,115720,259.0
T473161,C3512635,26/12/81,M,THANE WEST,20408.15,21/8/16,142232,2225.39
T875477,C5419124,12/4/92,M,UDAIPUR,18109.95,8/9/16,223204,1783.0
T874689,C7370533,28/4/92,M,MUMBAI,3314.87,8/9/16,205252,925.0
T936873,C3515213,27/10/96,M,NEW DELHI,30145.26,11/9/16,184743,3772.9
T733679,C6619416,9/11/84,M,PUNE,23509.82,2/9/16,174240,210.0
T952408,C5914727,21/8/83,M,BANGALORE,232008.83,10/9/16,190240,3947.0
T973413,C5638835,8/1/87,M,CHANDIGARH,53524.95,10/9/16,636,2000.0
T46390,C2926868,2/10/78,M,NEW DELHI,260479.53,3/8/16,115300,50.0
T485138,C1461168,8/4/92,M,DELHI,403.53,20/8/16,155927,620.0
T883654,C4267054,16/7/77,M,DELHI,22652.45,7/9/16,213709,200.0
T83547,C8429449,1/1/88,M,DELHI,81630.8,1/8/16,20405,747.0
T823633,C2526934,7/1/85,F,DELHI,149120.1,4/9/16,173016,347.0
T972074,C3891078,22/3/87,M,GURDASPUR,61928.95,10/9/16,115849,3393.0
T51285,C2216514,27/6/88,F,PUNE,38528.54,3/8/16,170547,1550.1
T1007288,C7628043,14/11/89,M,VIZIANAGARAM,25835.38,14/9/16,161903,402.0
T64833,C7715421,24/4/93,M,BANGALORE,4325.83,2/8/16,103922,122.3
T437527,C4635511,1/1/1800,M,ROAD EAST THANE,29324.63,17/8/16,213052,17066.0
T779872,C6487579,10/8/90,F,NOIDA,10947.74,6/9/16,144722,75.0
T497607,C3830990,12/11/90,F,WARANGAL,11.78,20/8/16,182011,21.0
T524908,C2825821,15/8/90,M,FARIDABAD,3166.32,24/8/16,160239,1300.0
T93947,C8838444,24/11/92,F,DELHI,265.76,1/8/16,140945,612.0
T303132,C8241133,25/12/67,F,VISAKHAPATNAM,13926.0,10/8/16,103730,149.0
T354601,C5039849,15/1/90,M,NAVI MUMBAI,858.49,14/8/16,174242,1500.0
T489608,C8924759,15/12/75,M,BANUR,13267.3,20/8/16,180850,300.0
T734471,C2329122,6/3/91,F,GURGAON,11084.91,2/9/16,170203,195.0
T54893,C8125188,16/10/88,M,MUMBAI,16919.09,3/8/16,194824,450.0
T241676,C6976235,9/9/84,M,JAMMU,33169.35,7/8/16,191106,579.52
T966670,C3415812,1/8/79,M,PATHANKOT [PB],9374.37,10/9/16,122435,1.0
T857638,C3321343,20/5/90,M,SINGHBUM,6988.01,9/9/16,203956,618.12
T103724,C8533389,6/10/84,M,GURGAON,105501.41,1/8/16,200307,715.15
T155362,C5236423,30/4/82,M,THANE,28799.24,3/9/16,152025,720.0
T437342,C7984074,11/10/68,M,NEW DELHI,119416.19,17/8/16,213930,1092.0
T236565,C5538357,15/5/81,M,BANGALORE,32314.77,7/8/16,124918,276.0
T112655,C1738151,25/12/86,M,MUMBAI,24.93,6/8/16,170916,46.0
T70984,C8582413,5/9/87,M,BANGALORE,8329.81,2/8/16,190612,223.5
T907008,C7826734,15/12/61,F,BANGALORE,103039.36,12/9/16,90812,5.63
T538794,C3916672,26/4/90,M,NIZAMABAD,1448.28,23/8/16,90309,10.0
T260102,C1529363,14/7/89,M,NOIDA,480.34,12/8/16,140549,298.0
T159184,C1126085,1/1/1800,M,CHENNAI,149636.72,4/8/16,111347,931.0
T16624,C7928170,22/4/79,M,NORTH 24 PARGANAS,7820.3,26/9/16,191825,2279.0
T620294,C4922382,17/10/92,M,GHAZIABAD,150681.34,28/8/16,635,100.0
T74317,C1620454,12/12/90,F,KANGRA,9801.14,2/8/16,214626,2051.0
T635391,C3724755,27/12/94,M,MUMBAI,48225.22,29/8/16,173411,150.0
T998269,C2671112,26/4/93,M,LUDHIANA,25630.48,14/9/16,72738,43.0
T1004085,C8433338,21/3/84,F,BANGALORE,7.16,14/9/16,172321,150.0
T687598,C8616956,6/2/82,M,CHENNAI,572.98,30/8/16,222912,190.0
T878445,C3821516,19/9/92,F,NAGPUR,5254.74,7/9/16,223253,180.0
T539766,C1122149,30/12/95,M,AGARTALA,11970.85,23/8/16,233813,20632.0
T638087,C8538972,11/12/89,M,KOLHAPUR,,29/8/16,180233,217.0
T846422,C8223119,15/3/88,M,NEW DELHI,10119.27,9/9/16,123613,2600.0
T336018,C6474130,4/10/90,M,AURANGABAD,461.0,14/8/16,75214,1252.0
T397402,C4126947,15/6/87,M,MUMBAI,1908.37,13/8/16,215719,2500.0
T905821,C1614516,29/3/89,F,GURGAON,38368.2,12/9/16,150957,82.24
T423224,C5439517,17/9/85,M,GURGAON,69503.59,17/8/16,140336,2190.0
T582919,C6633085,5/6/88,M,HYDERABAD,25377.9,27/8/16,143527,75690.0
T548220,C6122419,6/10/81,M,AMRITSAR,353.3,23/8/16,184841,100.0
T1004896,C6611962,1/1/1800,F,PUNE,2040875.54,14/9/16,181919,2300.0
T721257,C8611639,30/3/85,M,GANDHINAGAR,7233.15,3/9/16,201809,1650.0
T673364,C1918870,1/6/86,M,CHANDIGARH,19957.76,31/8/16,190650,60.0
T397770,C2473222,15/3/93,F,MUMBAI,8192.5,18/8/16,90954,1065.0
T916688,C5739948,24/11/92,M,GAUTAM BUDDHA NAGAR,6162.43,12/9/16,191245,373.0
T793025,C1835337,20/6/89,M,NOIDA,3066.71,5/9/16,103058,1062.0
T95754,C2816673,30/4/88,F,GURGAON,296.21,1/8/16,142115,250.0
T302109,C7322017,21/5/94,F,KOLKATA,530.01,10/8/16,120639,17.0
T877829,C1828832,29/8/97,M,MUMBAI,247088.52,8/9/16,215658,1161.92
T517593,C5330657,10/12/87,M,BANGALORE,12171.48,19/8/16,222155,951.0
T364293,C6691585,27/11/87,M,NOIDA,44297.53,14/8/16,180600,755.0
T351107,C9035682,22/9/89,F,GURGAON,2940.39,14/8/16,130314,2502.0
